                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9545,                 3.6331,                 1.6914,                0.00781,                0.78326,                0.08493,                  0.045,                 1.3585,                 3.4108,                 1.3032,             0.00012861,             0.00012861,             0.00012861
                      2,                  1.642,                 3.0095,                 1.4149,                0.00915,                0.90639,                0.08722,                0.05696,                 1.3337,                 3.0989,                 1.1961,             0.00027048,             0.00027048,             0.00027048
                      3,                 1.3618,                 2.4279,                  1.264,                0.00935,                0.89437,                0.12311,                0.08274,                 1.1821,                 3.0321,                 1.1933,             0.00041205,             0.00041205,             0.00041205
                      4,                 1.3512,                 2.2181,                 1.2338,                0.26703,                0.13765,                0.12911,                0.08327,                 1.2823,                 2.9915,                   1.18,             0.00055336,             0.00055336,             0.00055336
                      5,                 1.2616,                 2.1034,                  1.209,                0.56968,                0.05611,                0.13927,                0.08712,                 1.3229,                 2.9887,                 1.2301,             0.00069418,             0.00069418,             0.00069418
                      6,                 1.2765,                 1.9046,                 1.1976,                 0.2853,                0.18316,                0.18238,                0.10763,                 1.3865,                 2.7556,                  1.265,             0.00083456,             0.00083456,             0.00083456
                      7,                 1.2217,                 1.8695,                 1.1685,                0.21669,                0.25892,                0.14018,                0.08641,                 1.3218,                 2.8326,                 1.2436,             0.00097468,             0.00097468,             0.00097468
                      8,                 1.2449,                 1.7742,                 1.1713,                0.27251,                0.22565,                0.16596,                0.10494,                  1.432,                 3.0011,                 1.3087,              0.0011146,              0.0011146,              0.0011146
                      9,                 1.2475,                 1.7901,                 1.1552,                0.13859,                0.38463,                0.08815,                0.04961,                 1.4643,                 3.6474,                 1.3719,              0.0012542,              0.0012542,              0.0012542
                     10,                 1.2025,                 1.7029,                 1.1857,                0.17254,                0.32713,                0.14826,                0.09122,                 1.4665,                 2.9017,                 1.4115,              0.0013938,              0.0013938,              0.0013938
                     11,                 1.2305,                 1.6805,                 1.1879,                0.25297,                0.41399,                0.23552,                0.14117,                 1.4298,                 2.4447,                 1.3877,              0.0014063,              0.0014063,              0.0014063
                     12,                 1.2083,                 1.6083,                 1.1569,                0.37648,                0.38701,                0.30073,                0.17538,                 1.3499,                 3.1199,                 1.3649,              0.0014049,              0.0014049,              0.0014049
                     13,                 1.1574,                 1.6314,                 1.1589,                0.25778,                0.40981,                0.22967,                0.13864,                 1.4028,                 2.7871,                 1.4189,              0.0014037,              0.0014037,              0.0014037
                     14,                 1.1974,                 1.5415,                  1.147,                0.25148,                 0.4306,                 0.2885,                0.16927,                 1.3696,                 2.3092,                 1.3168,              0.0014025,              0.0014025,              0.0014025
                     15,                 1.1507,                 1.5089,                 1.1417,                0.24649,                0.25426,                0.24248,                0.14609,                 1.3246,                 2.2757,                  1.319,              0.0014011,              0.0014011,              0.0014011
                     16,                 1.1078,                 1.4313,                 1.1211,                0.35576,                0.33839,                0.36527,                0.21006,                   1.43,                 2.1054,                 1.3556,              0.0013999,              0.0013999,              0.0013999
                     17,                 1.1397,                  1.427,                 1.1153,                0.28766,                 0.3632,                0.30907,                0.19762,                 1.3272,                 2.1513,                 1.3316,              0.0013985,              0.0013985,              0.0013985
                     18,                 1.0829,                 1.3633,                 1.1163,                0.43272,                0.25965,                0.32101,                0.18618,                 1.4858,                 2.2701,                 1.4328,              0.0013971,              0.0013971,              0.0013971
                     19,                 1.0985,                 1.4129,                 1.1223,                0.36277,                0.27599,                0.29886,                0.19327,                 1.5826,                 2.2165,                 1.4726,              0.0013959,              0.0013959,              0.0013959
